      apsza    band      o3      aod    dif1                dif2                dif3                dif4                dif5                dif6 
      32.0     290.0     0.0     0.0   -0.6865436045E+01    0.6887647215E+01    0.1304716400E-01    0.6886920879E+01   -0.5240838000E-02   -0.2636875500E-01
      32.0     295.0     0.0     0.0   -0.1579859152E+03    0.1587186561E+03    0.4877885170E+00    0.1586771786E+03   -0.1724879950E+00   -0.7928234160E+00
      32.0     300.0     0.0     0.0   -0.7464839135E+03    0.7519143161E+03    0.3923663395E+01    0.7515094125E+03   -0.1259713475E+01   -0.5464089518E+01
      32.0     305.0     0.0     0.0   -0.1680360429E+04    0.1703185891E+04    0.1759855644E+02    0.1701172137E+04   -0.5176584743E+01   -0.2187358599E+02
      32.0     310.0     0.0     0.0   -0.9531697840E+03    0.9969270392E+03    0.3582015943E+02    0.9925273967E+03   -0.9528842068E+01   -0.4075633012E+02
      32.0     315.0     0.0     0.0    0.1358159429E+04   -0.1292422619E+04    0.5702830649E+02   -0.1299784005E+04   -0.1352236690E+02   -0.6049470811E+02
      32.0     320.0     0.0     0.0    0.5068494195E+04   -0.4985867814E+04    0.7592222076E+02   -0.4996093143E+04   -0.1574786868E+02   -0.7597552175E+02
      32.0     325.0     0.0     0.0    0.1030219184E+05   -0.1019827100E+05    0.1010614554E+03   -0.1021240311E+05   -0.1798593297E+02   -0.9620893248E+02
      32.0     330.0     0.0     0.0    0.1660809393E+05   -0.1647879796E+05    0.1323690591E+03   -0.1649790305E+05   -0.2008565895E+02   -0.1211180912E+03
      32.0     335.0     0.0     0.0    0.1868060961E+05   -0.1856161191E+05    0.1278733940E+03   -0.1858063865E+05   -0.1630117281E+02   -0.1129970230E+03
      32.0     340.0     0.0     0.0    0.2445990952E+05   -0.2432834645E+05    0.1482560624E+03   -0.2435105083E+05   -0.1551254283E+02   -0.1269320308E+03
      32.0     345.0     0.0     0.0    0.2689439104E+05   -0.2676693660E+05    0.1497551643E+03   -0.2679044759E+05   -0.1274161970E+02   -0.1249969063E+03
      32.0     350.0     0.0     0.0    0.3094998289E+05   -0.3081802138E+05    0.1614623520E+03   -0.3084399939E+05   -0.1084391734E+02   -0.1314239909E+03
      32.0     355.0     0.0     0.0    0.3535445614E+05   -0.3521604990E+05    0.1753996855E+03   -0.3524491045E+05   -0.9063967626E+01   -0.1398976865E+03
      32.0     360.0     0.0     0.0    0.3429309344E+05   -0.3416936005E+05    0.1623593255E+03   -0.3419669733E+05   -0.5975999659E+01   -0.1269365440E+03
      32.0     365.0     0.0     0.0    0.4635373404E+05   -0.4619664922E+05    0.2132252600E+03   -0.4623331905E+05   -0.5080040721E+01   -0.1630732769E+03
      32.0     370.0     0.0     0.0    0.4962707833E+05   -0.4946795751E+05    0.2217308324E+03   -0.4950684158E+05   -0.2704331215E+01   -0.1675826032E+03
      32.0     375.0     0.0     0.0    0.4722071515E+05   -0.4707685979E+05    0.2061649120E+03   -0.4711374060E+05   -0.2278155530E+00   -0.1533917999E+03
      32.0     380.0     0.0     0.0    0.5521105058E+05   -0.5504987800E+05    0.2366809928E+03   -0.5509294608E+05    0.1962443244E+01   -0.1737662639E+03
      32.0     385.0     0.0     0.0    0.4519252255E+05   -0.4506575809E+05    0.1909583930E+03   -0.4510117857E+05    0.3439335667E+01   -0.1382455884E+03
      32.0     390.0     0.0     0.0    0.6005229527E+05   -0.5988952487E+05    0.2507039490E+03   -0.5993681878E+05    0.6588398920E+01   -0.1793033971E+03
      32.0     395.0     0.0     0.0    0.4775468880E+05   -0.4763008706E+05    0.1959043737E+03   -0.4766763903E+05    0.6661641006E+01   -0.1386322735E+03
      32.0     400.0     0.0     0.0    0.8780168185E+05   -0.8757781069E+05    0.3593191802E+03   -0.8764779771E+05    0.1481425720E+02   -0.2512639255E+03
      32.0     450.0     0.0     0.0    0.1104946599E+06   -0.1102559077E+06    0.4446827536E+03   -0.1103546978E+06    0.4053980386E+02   -0.2853015448E+03
      32.0     550.0     0.0     0.0    0.1056928015E+06   -0.1054877262E+06    0.4479705723E+03   -0.1056038894E+06    0.6204537644E+02   -0.2579507060E+03
      32.0     650.0     0.0     0.0    0.8040375035E+05   -0.8025059376E+05    0.3668378093E+03   -0.8035633574E+05    0.6053380660E+02   -0.1933310357E+03
      32.0     750.0     0.0     0.0    0.5601553439E+05   -0.5590820019E+05    0.2736580764E+03   -0.5599390593E+05    0.5051260856E+02   -0.1330791957E+03
